LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
1;249170080;Dzierżkowice;Opawa (112);49 59 32;17 50 47;270.0
2;249180010;Pszczyna;Pszczynka (2116);49 59 44;18 55 09;270.0
3;249180020;Warszowice;Pszczynka (2116);49 59 31;18 42 20;270
4;249180030;Chałupki;Odra (1);49 55 33;18 19 39;198.0
5;249180070;Mazańcowice;Wapienica (21128);49 51 45;18 58 10;269.0
6;249180090;Rudzica;Iłownica (2112);49 51 12;18 52 57;337.0
7;249180130;Cieszyn;Olza (114);49 45 15;18 38 54;295
8;249180150;Wapienica;Wapienica (21128);49 46 25;18 58 24;456.0
9;249180160;BRENNA;Brennica (21114);49 45 13;18 52 15;350.0
10;249180170;Błatnia;Brennica (21114);49 44 49;18 56 33;882.0
11;249180180;Równica, wieś;Wisła (2);49 43 11;18 51 09;768.0
12;249180210;SZCZYRK;Soła (2132);49 42 11;18 59 41;600.0
13;249180220;CZANTORIA;Wisła (2);49 41 00;18 49 11;842.0
14;249180230;WISŁA;Wisła (2);49 39 17;18 51 41;430
15;249180240;WISŁA-MALINKA;Malinka (21112);49 38 41;18 58 03;685.0
16;249180260;ISTEBNA-KUBALONKA;Olza (114);49 36 13;18 54 04;780.0
17;249180270;Istebna Młoda-Góra;Olza (114);49 34 50;18 51 43;786.0
18;249180280;ISTEBNA-STECÓWKA;Olza (114);49 35 07;18 56 25;735.0
19;249180390;BRENNA Leśnica;Leśnica (211146);49 42 36;18 54 11;426.0
20;249180410;ISTEBNA-WIEŚ;Olza (114);49 34 08;18 53 32;578.0
21;249180520;RUDZICA;Iłownica (2112);49 51 14;18 52 51;345.0
22;249180530;ISTEBNA-STECÓWKA;Olza (114);49 35 05;18 56 16;725.0
23;249180550;Cieszyn;Olza (114);49 46 30;18 36 33;255.0
24;249180570;Międzyrzecze Górne;Jasienica (21126);49 50 22;18 55 42;312.0
25;249180580;Goczałkowice-Zdrój;Wisła (2);49 56 18;18 56 02;259.0
26;249180590;Ruptawa;Olza (114);49 56 12;18 35 22;230.0
27;249180620;Kończyce Małe;Piotrówka (1146);49 51 08;18 38 20;242.0
28;249180630;Kiczyce;Wisła (2);49 49 18;18 47 59;283.0
29;249190010;JAWISZOWICE;Wisła (2);49 57 35;19 08 31;260.0
30;249190030;LIBERTÓW;Wisła (2);49 58 21;19 53 42;318.0
31;249190050;RADZISZÓW;Skawinka (21356);49 56 23;19 48 33;222.0
32;249190060;SIEPRAW;Skawinka (21356);49 54 17;19 57 53;267.0
33;249190080;WADOWICE;Skawa (2134);49 52 55;19 31 07;259.0
34;249190090;INWAŁD;Skawa (2134);49 52 02;19 23 19;350
35;249190130;MIĘDZYBRODZIE BIALSKIE;Soła (2132);49 47 22;19 11 46;328.0
36;249190140;LESKOWIEC;Skawa (2134);49 47 44;19 26 48;872.0
37;249190150;STRÓŻA;Raba (2138);49 47 47;19 55 03;330.0
38;249190170;BOGDANÓWKA;Raba (2138);49 45 34;19 47 17;812.0
39;249190190;MAKÓW PODH.;Skawa (2134);49 43 33;19 41 17;361.0
40;249190210;ŁODYGOWICE;Soła (2132);49 43 27;19 09 37;375
41;249190220;ŚLEMIEŃ;Soła (2132);49 43 03;19 21 11;447.0
42;249190230;Lubień;Lubieńka (213834);49 43 15;19 58 12;429.0
43;249190240;LACHOWICE KRALE;Skawa (2134);49 41 18;19 25 04;616.0
44;249190270;Osielec;Skawa (2134);49 40 44;19 44 20;439.0
45;249190280;KRZECZÓW;Raba (2138);49 41 01;19 54 36;548.0
46;249190290;Lipowa;Soła (2132);49 39 58;19 04 36;530.0
47;249190310;Pewel Mała;Koszarawa (21324);49 39 39;19 18 21;425.0
48;249190320;LUBOŃ WIELKI;Raba (2138);49 39 12;19 59 32;1021.0
49;249190340;KOSZARAWA;Soła (2132);49 39 21;19 24 16;595.0
50;249190350;ZAWOJA;Skawica (21344);49 36 42;19 31 07;697
51;249190380;Kamesznica;Bystra (213232);49 34 12;19 03 52;470.0
52;249190390;MARKOWE SZCZAWINY;Skawa (2134);49 35 15;19 30 59;1193.0
53;249190410;MILÓWKA;Soła (2132);49 33 33;19 04 46;485
54;249190420;Żabnica;Żabniczanka (213234);49 33 39;19 11 15;585.0
55;249190430;SOPOTNIA WIELKA;Soła (2132);49 34 54;19 17 58;745
56;249190440;KORBIELÓW;Soła (2132);49 34 07;19 20 54;650.0
57;249190460;SPYTKOWICE GÓRNE;Skawa (2134);49 33 52;19 45 42;639.0
58;249190470;Raba Wyżna;Raba (2138);49 33 53;19 52 54;536.0
59;249190480;LALIKI;Soła (2132);49 32 41;19 00 58;680.0
60;249190520;OBIDOWA;Raba (2138);49 32 39;19 58 07;805
61;249190530;PILSKO;Soła (2132);49 32 28;19 19 06;1278.0
62;249190540;RAJCZA;Soła (2132);49 30 22;19 06 19;495.0
63;249190560;JABŁONKA;Czarna Orawa (8222);49 28 20;19 41 45;614.0
64;249190580;RYCERKA GÓRNA;Soła (2132);49 25 35;19 00 30;710.0
65;249190610;RATUŁÓW;Wielki Rogoźnik (214116);49 23 30;19 53 01;679.0
66;249190620;BAŃSKA WYŻNA;Biały Dunajec (21412);49 23 03;19 58 24;896.0
67;249190630;WITÓW;Czarny Dunajec (21411);49 19 39;19 49 30;822.0
